g_loss,d_loss
"[3689292.5, 2014.7623, 1081997.5, 4322145.5, 6893491.0]",[62.5  0.5]
"[3588525.8, 2014.7623, 1026959.7, 4242459.5, 6692326.5]",[62.5  0.5]
"[3616081.5, 2014.7623, 1012541.1, 4092188.2, 6948868.5]",[62.5  0.5]
"[3704106.5, 2014.7623, 1031442.4, 4254582.0, 7060990.0]",[62.5  0.5]
"[3334803.0, 2014.7623, 961571.5, 3871238.5, 6283192.5]",[62.5  0.5]
"[3584222.0, 2014.7623, 1002250.25, 4117790.5, 6827358.5]",[62.5  0.5]
"[3775241.0, 2014.7623, 1131932.0, 4380260.0, 7071938.0]",[62.5  0.5]
"[3388461.2, 2014.7623, 978641.4, 3929558.0, 6386664.0]",[62.5  0.5]
"[3436580.5, 2014.7623, 990516.56, 3942424.2, 6522320.0]",[62.5  0.5]
"[3454805.0, 2014.7623, 993341.25, 3933600.5, 6589068.0]",[62.5  0.5]
"[3326843.0, 2014.7623, 999411.3, 3802529.2, 6287528.5]",[62.5  0.5]
"[3594106.5, 2014.7623, 1044447.06, 4065843.2, 6870058.0]",[62.5  0.5]
"[3270499.5, 2014.7623, 929284.8, 3745513.5, 6226859.0]",[62.5  0.5]
"[3409120.5, 2014.7623, 1020833.7, 3960876.2, 6382018.5]",[62.5  0.5]
"[3550574.0, 2014.7623, 956742.44, 4066722.2, 6811775.0]",[62.5  0.5]
"[3516979.2, 2014.7623, 971301.4, 3987287.0, 6764669.0]",[62.5  0.5]
"[3423958.8, 2014.7623, 968406.56, 3857574.0, 6587208.0]",[62.5  0.5]
"[3234585.5, 2014.7623, 929486.44, 3742753.0, 6109705.0]",[62.5  0.5]
"[3528605.0, 2014.7623, 1006572.56, 4041467.5, 6713969.5]",[62.5  0.5]
"[3458171.5, 2014.7623, 924105.7, 3962574.2, 6640551.0]",[62.5  0.5]
"[3704154.0, 2014.7623, 1028652.3, 4232643.0, 7085877.5]",[62.5  0.5]
"[3288729.5, 2014.7623, 948581.94, 3809324.2, 6204518.0]",[62.5  0.5]
"[3911912.0, 2014.7623, 1011362.2, 4367451.5, 7660885.5]",[62.5  0.5]
"[3344165.8, 2014.7623, 940152.4, 3826163.0, 6380896.5]",[62.5  0.5]
"[3249724.5, 2014.7623, 903495.4, 3767811.5, 6161101.5]",[62.5  0.5]
"[3244402.2, 2014.7623, 877147.4, 3692573.8, 6244946.0]",[62.5  0.5]
"[3365598.0, 2014.7623, 922656.6, 3862054.5, 6433942.0]",[62.5  0.5]
"[3174765.5, 2014.7623, 927436.3, 3666515.0, 5988594.0]",[62.5  0.5]
"[3196678.0, 2014.7623, 855584.3, 3636630.8, 6163371.0]",[62.5  0.5]
"[3528903.8, 2014.7623, 968205.7, 4058935.2, 6735864.5]",[62.5  0.5]
"[3453687.0, 2014.7623, 964395.3, 4000727.0, 6547160.5]",[62.5  0.5]
"[3318436.8, 2014.7623, 900212.56, 3773944.5, 6387292.0]",[62.5  0.5]
"[3147817.5, 2014.7623, 845921.0, 3583974.5, 6062822.0]",[62.5  0.5]
"[2931067.0, 2014.7623, 839257.56, 3379567.5, 5551390.5]",[62.5  0.5]
"[3241100.2, 2014.7623, 934935.4, 3746448.8, 6122276.5]",[62.5  0.5]
"[3417386.8, 2014.7623, 956917.0, 3823123.2, 6611242.0]",[62.5  0.5]
"[3196866.5, 2014.7623, 917435.56, 3651740.2, 6087038.5]",[62.5  0.5]
"[3379147.0, 2014.7623, 892342.25, 3892960.5, 6478513.0]",[62.5  0.5]
"[3777812.0, 2014.7623, 1010101.44, 4300575.5, 7282022.5]",[62.5  0.5]
"[3906229.0, 2014.7623, 1043341.2, 4405447.5, 7571968.0]",[62.5  0.5]
"[3372861.0, 2014.7623, 975021.6, 3824477.8, 6443364.0]",[62.5  0.5]
"[3538094.2, 2014.7623, 1038550.0, 4106178.8, 6648912.0]",[62.5  0.5]
"[3316362.5, 2014.7623, 946661.75, 3852431.8, 6255441.0]",[62.5  0.5]
"[3466886.5, 2014.7623, 902023.7, 3916914.0, 6737344.0]",[62.5  0.5]
"[3246272.5, 2014.7623, 886395.0, 3753827.0, 6180679.0]",[62.5  0.5]
"[3310775.8, 2014.7623, 927348.8, 3769908.0, 6338655.0]",[62.5  0.5]
"[3485275.0, 2014.7623, 1005865.7, 4037526.8, 6574183.5]",[62.5  0.5]
"[3041976.5, 2014.7623, 922503.2, 3471638.0, 5745773.0]",[62.5  0.5]
"[3130927.5, 2014.7623, 875550.8, 3577975.2, 5982892.0]",[62.5  0.5]
"[3261518.5, 2014.7623, 894900.7, 3734398.5, 6242422.0]",[62.5  0.5]
"[3484303.0, 2014.7623, 965768.44, 3893104.5, 6755463.5]",[62.5  0.5]
"[3692003.8, 2014.7623, 979788.7, 4140259.5, 7186623.5]",[62.5  0.5]
"[3368558.5, 2014.7623, 926370.0, 3766952.2, 6535199.0]",[62.5  0.5]
"[3198827.5, 2014.7623, 936646.9, 3702652.8, 6023451.5]",[62.5  0.5]
"[3303768.5, 2014.7623, 938854.1, 3800441.2, 6273259.5]",[62.5  0.5]
"[3066763.5, 2014.7623, 883414.44, 3478329.8, 5860794.0]",[62.5  0.5]
"[3302683.5, 2014.7623, 960378.56, 3837311.2, 6211247.5]",[62.5  0.5]
"[3318327.0, 2014.7623, 921474.2, 3756721.8, 6382886.5]",[62.5  0.5]
"[3808600.5, 2014.7623, 1109652.5, 4391151.0, 7194525.0]",[62.5  0.5]
"[3664348.0, 2014.7623, 1034219.56, 4196835.5, 6983430.5]",[62.5  0.5]
"[3378522.0, 2014.7623, 969649.7, 3858906.2, 6433177.5]",[62.5  0.5]
"[3438598.5, 2014.7623, 896174.56, 3837025.5, 6728787.5]",[62.5  0.5]
"[3513275.5, 2014.7623, 980533.0, 3989869.5, 6740508.5]",[62.5  0.5]
"[3180567.2, 2014.7623, 867395.0, 3610668.5, 6123820.0]",[62.5  0.5]
"[3114570.5, 2014.7623, 854084.3, 3571825.8, 5955985.0]",[62.5  0.5]
"[3126522.0, 2014.7623, 891065.9, 3602309.0, 5928357.5]",[62.5  0.5]
"[3694139.8, 2014.7623, 1008012.6, 4110445.0, 7195334.5]",[62.5  0.5]
"[3147385.0, 2014.7623, 832982.2, 3618611.8, 6039682.0]",[62.5  0.5]
"[3270310.8, 2014.7623, 934756.44, 3757291.8, 6208980.5]",[62.5  0.5]
"[3489913.5, 2014.7623, 965539.5, 3961000.0, 6706498.5]",[62.5  0.5]
"[3136591.5, 2014.7623, 912282.9, 3627300.5, 5915714.5]",[62.5  0.5]
"[3428504.0, 2014.7623, 957985.8, 3906929.0, 6563425.0]",[62.5  0.5]
"[3160769.5, 2014.7623, 901113.6, 3632228.5, 6002549.0]",[62.5  0.5]
"[3190436.0, 2014.7623, 881640.5, 3677986.8, 6075152.0]",[62.5  0.5]
"[3103890.5, 2014.7623, 896976.5, 3549972.8, 5899345.0]",[62.5  0.5]
"[3364115.0, 2014.7623, 939133.0, 3878472.0, 6396105.0]",[62.5  0.5]
"[3465789.0, 2014.7623, 985421.6, 4023172.8, 6544028.0]",[62.5  0.5]
"[3248243.5, 2014.7623, 955684.8, 3717115.2, 6154671.5]",[62.5  0.5]
"[3298171.0, 2014.7623, 890464.1, 3700313.8, 6403118.0]",[62.5  0.5]
"[3475530.0, 2014.7623, 961259.5, 3966102.2, 6657731.0]",[62.5  0.5]
"[3481935.8, 2014.7623, 1004672.5, 3960771.5, 6641001.5]",[62.5  0.5]
"[2935215.5, 2014.7623, 855243.3, 3334035.8, 5594765.0]",[62.5  0.5]
"[3543246.0, 2014.7623, 946191.2, 4048703.5, 6815918.5]",[62.5  0.5]
"[3124595.5, 2014.7623, 899380.4, 3604522.5, 5911408.0]",[62.5  0.5]
"[3234913.2, 2014.7623, 920622.4, 3671951.8, 6190462.5]",[62.5  0.5]
"[3547631.5, 2014.7623, 943691.5, 4058767.8, 6822971.5]",[62.5  0.5]
"[3517566.0, 2014.7623, 1018396.7, 4066003.5, 6640812.5]",[62.5  0.5]
"[3713604.5, 2014.7623, 1049823.4, 4196996.5, 7131855.0]",[62.5  0.5]
"[3594385.5, 2014.7623, 975134.4, 4128007.8, 6878135.0]",[62.5  0.5]
"[3236174.5, 2014.7623, 908923.25, 3691607.5, 6186710.5]",[62.5  0.5]
"[3588498.5, 2014.7623, 1010399.5, 4178946.5, 6772308.5]",[62.5  0.5]
"[3277062.2, 2014.7623, 929934.25, 3760030.2, 6233569.5]",[62.5  0.5]
"[3385989.0, 2014.7623, 954615.3, 3840951.0, 6491056.0]",[62.5  0.5]
"[3233008.5, 2014.7623, 872690.8, 3682434.5, 6221562.5]",[62.5  0.5]
"[3377572.8, 2014.7623, 992739.5, 3925005.0, 6340824.5]",[62.5  0.5]
"[3646304.0, 2014.7623, 989155.6, 4007226.0, 7157958.0]",[62.5  0.5]
"[3135006.5, 2014.7623, 887395.9, 3560511.5, 6002107.0]",[62.5  0.5]
"[3328150.5, 2014.7623, 919751.0, 3829016.5, 6345060.0]",[62.5  0.5]
"[3295133.0, 2014.7623, 895979.7, 3777103.5, 6310686.0]",[62.5  0.5]
"[3064111.0, 2014.7623, 867340.4, 3569840.5, 5776515.5]",[62.5  0.5]
"[3563533.5, 2014.7623, 1011943.1, 4097547.2, 6768947.0]",[62.5  0.5]
"[3193079.5, 2014.7623, 861519.06, 3632309.0, 6149763.5]",[62.5  0.5]
"[3663775.0, 2014.7623, 971800.44, 4061831.8, 7178943.5]",[62.5  0.5]
"[3622982.0, 2014.7623, 1005502.1, 4175874.8, 6895223.0]",[62.5  0.5]
"[3388285.5, 2014.7623, 902991.44, 3882873.5, 6508413.5]",[62.5  0.5]
"[3436658.0, 2014.7623, 953929.56, 3952018.2, 6549572.0]",[62.5  0.5]
"[3217054.2, 2014.7623, 891028.2, 3702385.2, 6130093.5]",[62.5  0.5]
"[3566635.5, 2014.7623, 976314.3, 4070441.5, 6842022.0]",[62.5  0.5]
"[3318598.5, 2014.7623, 921450.5, 3827107.0, 6313430.0]",[62.5  0.5]
"[3347394.0, 2014.7623, 918702.75, 3827491.0, 6411779.5]",[62.5  0.5]
"[3356770.8, 2014.7623, 926083.56, 3844002.2, 6419142.5]",[62.5  0.5]
"[3346530.0, 2014.7623, 1034005.5, 3868056.8, 6253031.0]",[62.5  0.5]
"[3866782.5, 2014.7623, 945349.8, 4363366.5, 7580551.0]",[62.5  0.5]
"[3531494.5, 2014.7623, 994415.7, 4009383.8, 6767841.5]",[62.5  0.5]
"[3219614.0, 2014.7623, 932100.75, 3649732.8, 6150205.5]",[62.5  0.5]
"[3396497.5, 2014.7623, 944946.06, 3805599.2, 6571105.5]",[62.5  0.5]
"[3404390.5, 2014.7623, 990791.5, 3848908.0, 6508261.0]",[62.5  0.5]
"[3107076.0, 2014.7623, 876763.44, 3523885.5, 5956263.5]",[62.5  0.5]
"[3406704.5, 2014.7623, 944145.3, 3909293.5, 6502235.0]",[62.5  0.5]
"[3376389.0, 2014.7623, 933925.75, 3928017.0, 6392680.5]",[62.5  0.5]
"[3322762.0, 2014.7623, 934140.6, 3782919.0, 6358806.5]",[62.5  0.5]
"[3521809.5, 2014.7623, 1052042.9, 4070679.0, 6616636.5]",[62.5  0.5]
"[3266614.0, 2014.7623, 951357.06, 3690670.8, 6246679.0]",[62.5  0.5]
"[3078322.5, 2014.7623, 860755.6, 3539275.8, 5861036.5]",[62.5  0.5]
"[3701958.5, 2014.7623, 1017752.75, 4164974.0, 7157127.0]",[62.5  0.5]
"[3265142.5, 2014.7623, 871508.56, 3698913.0, 6313379.0]",[62.5  0.5]
"[3244877.5, 2014.7623, 928534.75, 3689574.8, 6198141.0]",[62.5  0.5]
"[3529788.0, 2014.7623, 979052.5, 3997646.8, 6789254.0]",[62.5  0.5]
"[3344066.0, 2014.7623, 898788.6, 3789425.0, 6458665.5]",[62.5  0.5]
"[3397613.5, 2014.7623, 936556.44, 3901506.2, 6487308.5]",[62.5  0.5]
"[3612418.0, 2014.7623, 978780.5, 4252234.0, 6810371.5]",[62.5  0.5]
g_loss,d_loss
"[3581421.0, 2014.7623, 1003541.75, 4074709.0, 6859812.0]",[90.69988     0.16211112]
"[4642734.0, 2014.7623, 1615152.5, 5701279.5, 8159340.0]",[62.5  0.5]
"[3512050.2, 2014.7623, 1181347.2, 4138256.5, 6387223.0]",[62.5  0.5]
"[3486291.5, 2014.7623, 1161683.0, 4062683.0, 6396599.0]",[62.5  0.5]
"[3994330.0, 2014.7623, 1273580.2, 4592251.0, 7448595.0]",[62.5  0.5]
"[3788380.5, 2014.7623, 1170345.4, 4417708.0, 7039875.0]",[62.5  0.5]
"[3605363.0, 2014.7623, 1051036.2, 4184050.0, 6782783.0]",[62.5  0.5]
